kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.010087,0.028022,0.023991191748235385,0.8561555830502957,0.14384441694970426,baseline
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.028022,0.009424,0.016076069309588794,1.705864739981833,0.705864739981833,baseline
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.028022,0.010087,0.01178173710444335,1.1680120059922028,0.1680120059922028,baseline
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008575,0.003961,0.006284396622397116,1.5865681955054571,0.5865681955054571,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.008575,0.036032,0.014946977732714582,0.4148250924931889,0.5851749075068111,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.003961,0.008575,0.005404747192268111,0.6302912177572142,0.36970878224278586,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.003961,0.036032,0.009420948796942637,0.261460612703781,0.738539387296219,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.036032,0.008575,0.020671362835026175,2.4106545580205454,1.4106545580205454,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036032,0.003961,0.015149509362190524,3.824667852105661,2.824667852105661,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009216,0.004031,0.006754169011313331,1.675556688492516,0.6755566884925159,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.009216,0.0378,0.016064297001130913,0.42498140214632046,0.5750185978536796,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.004031,0.009216,0.005500261532954495,0.5968165725862082,0.4031834274137918,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.004031,0.0378,0.009587438677221853,0.25363594384184796,0.746364056158152,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.0378,0.009216,0.021685654839142685,2.353044144872253,1.353044144872253,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.0378,0.004031,0.015892857845548447,3.942658855258856,2.942658855258856,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008749,0.004415,0.006411916740449256,1.4523027724686877,0.4523027724686877,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.008749,0.0509,0.015250275006824477,0.2996124755761194,0.7003875244238805,train_extra
