kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind
conv2d_7x7,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267808,0.000044,2048,2048,0,256,4096,rows_cols
matmul_naive,--rows 128 --cols 128 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.574897,0.000357,128,128,0,256,1024,rows_cols
matmul_naive,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.667630,0.000475,256,256,0,256,1024,rows_cols
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666912,0.000693,512,512,0,256,1024,rows_cols
matmul_naive,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666831,0.000686,1024,1024,0,256,1024,rows_cols
matmul_naive,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666934,0.000521,2048,2048,0,256,1024,rows_cols
matmul_tiled,--rows 128 --cols 128 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269027,0.000145,128,128,0,1024,256,rows_cols
matmul_tiled,--rows 256 --cols 256 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269090,0.000095,256,256,0,1024,256,rows_cols
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311206,0.000164,512,512,0,1024,256,rows_cols
matmul_tiled,--rows 1024 --cols 1024 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311291,0.000121,1024,1024,0,1024,256,rows_cols
matmul_tiled,--rows 2048 --cols 2048 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311182,0.000121,2048,2048,0,1024,256,rows_cols
