kernel,regs,shmem,mean_ms,std_ms,N,rows,cols,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,gpu_device_name,gpu_cc_major,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
atomic_hotspot,7,0,0.364426,0.120996,262144,0,0,256,1024,N,0,2097152,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,5.75,0.00,0.149416,0.41
atomic_hotspot,7,0,1.452027,0.482986,1048576,0,0,256,4096,N,0,8388608,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,5.78,0.00,0.597665,0.41
atomic_hotspot,7,0,5.804046,1.935850,4194304,0,0,256,16384,N,0,33554432,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,5.78,0.00,2.390662,0.41
conv2d_3x3,30,0,0.009425,0.001203,0,512,512,256,1024,rows_cols,4718592,2097152,2.250000,2097152,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,222.51,500.65,0.149416,15.85
conv2d_3x3,30,0,0.017922,0.000026,0,1024,1024,256,4096,rows_cols,18874368,8388608,2.250000,8388608,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,468.06,1053.14,0.597665,33.35
conv2d_3x3,30,0,0.065527,0.000023,0,2048,2048,256,16384,rows_cols,75497472,33554432,2.250000,33554432,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,512.07,1152.16,2.390662,36.48
conv2d_3x3,30,0,0.311467,0.000094,0,4096,4096,256,65536,rows_cols,301989888,134217728,2.250000,134217728,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,430.92,969.57,9.562647,30.70
conv2d_7x7,40,0,0.021477,0.000066,0,512,512,256,1024,rows_cols,25690112,2097152,12.250000,2097152,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,97.65,1196.17,0.149416,6.96
conv2d_7x7,40,0,0.077959,0.000031,0,1024,1024,256,4096,rows_cols,102760448,8388608,12.250000,8388608,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,107.60,1318.13,0.597665,7.67
conv2d_7x7,40,0,0.304562,0.000071,0,2048,2048,256,16384,rows_cols,411041792,33554432,12.250000,33554432,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,110.17,1349.62,2.390662,7.85
conv2d_7x7,40,0,1.214728,0.000046,0,4096,4096,256,65536,rows_cols,1644167168,134217728,12.250000,134217728,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,110.49,1353.53,9.562647,7.87
dot_product,15,1024,0.009614,0.000208,262144,0,0,256,1024,N,524288,2101252,0.249512,2097152,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,218.56,54.53,0.149708,15.57
dot_product,15,1024,0.014516,0.000047,1048576,0,0,256,4096,N,2097152,8404996,0.249513,8388608,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,579.02,144.47,0.598833,41.25
dot_product,15,1024,0.051273,0.000022,4194304,0,0,256,16384,N,8388608,33619972,0.249513,33554432,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,655.71,163.61,2.395331,46.72
dot_product,15,1024,0.294004,0.000066,16777216,0,0,256,65536,N,33554432,134479876,0.249513,134217728,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,457.41,114.13,9.581324,32.59
histogram,10,1024,0.014318,0.000022,262144,0,0,256,1024,N,0,2097152,0.000000,1049600,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,146.47,0.00,0.149416,10.44
histogram,10,1024,0.051429,0.000070,1048576,0,0,256,4096,N,0,8388608,0.000000,4195328,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,163.11,0.00,0.597665,11.62
histogram,10,1024,0.199951,0.000279,4194304,0,0,256,16384,N,0,33554432,0.000000,16778240,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,167.81,0.00,2.390662,11.96
histogram,10,1024,0.794261,0.001139,16777216,0,0,256,65536,N,0,134217728,0.000000,67109888,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,168.98,0.00,9.562647,12.04
matmul_naive,40,0,0.030144,0.000084,0,256,256,256,256,rows_cols,33554432,786432,42.666667,786432,0,mm_naive,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,26.09,1113.14,0.062590,2.08
