kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
matmul_naive,--matN 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,10,50,10,0.203967,0.000047,0,512,512,256,1024,rows_cols,268435456,3145728,85.333333,3145728,0,mm_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,15.42,1316.07
matmul_naive,--matN 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,10,50,10,1.555728,0.000069,0,1024,1024,256,4096,rows_cols,2147483648,12582912,170.666667,12582912,0,mm_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,8.09,1380.37
matmul_naive,--matN 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,10,50,10,12.282360,0.000182,0,2048,2048,256,16384,rows_cols,17179869184,50331648,341.333333,50331648,0,mm_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,4.10,1398.74
matmul_tiled,--matN 256 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,8,8,1,10,50,10,0.030239,0.000064,0,256,256,1024,64,rows_cols,33554432,786432,42.666667,786432,8192,mm_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,26.01,1109.64
matmul_tiled,--matN 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,16,16,1,10,50,10,0.168609,0.000021,0,512,512,1024,256,rows_cols,268435456,3145728,85.333333,3145728,8192,mm_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,18.66,1592.06
matmul_tiled,--matN 1024 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,32,32,1,10,50,10,1.265955,0.000052,0,1024,1024,1024,1024,rows_cols,2147483648,12582912,170.666667,12582912,8192,mm_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,9.94,1696.33
matmul_tiled,--matN 2048 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,64,64,1,10,50,10,9.871057,0.000324,0,2048,2048,1024,4096,rows_cols,17179869184,50331648,341.333333,50331648,8192,mm_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,5.10,1740.43
naive_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,20,100,10,0.009420,0.000180,0,512,512,256,1024,rows_cols,0,2097152,0.000000,2097152,0,transpose_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,222.63,0.00
naive_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,20,100,10,0.032058,0.000067,0,1024,1024,256,4096,rows_cols,0,8388608,0.000000,8388608,0,transpose_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,261.67,0.00
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,20,100,10,0.126099,0.000035,0,2048,2048,256,16384,rows_cols,0,33554432,0.000000,33554432,0,transpose_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,266.10,0.00
naive_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,256,256,1,20,100,10,0.554281,0.000093,0,4096,4096,256,65536,rows_cols,0,134217728,0.000000,134217728,0,transpose_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,242.15,0.00
random_access,--N 262144 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008670,0.001498,262144,0,0,256,1024,N,0,2097152,0.000000,2097152,0,random_gather_scatter,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,241.89,0.00
random_access,--N 1048576 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.008904,0.000538,1048576,0,0,256,4096,N,0,8388608,0.000000,8388608,0,random_gather_scatter,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,942.12,0.00
random_access,--N 4194304 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.026520,0.000031,4194304,0,0,256,16384,N,0,33554432,0.000000,33554432,0,random_gather_scatter,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1265.25,0.00
random_access,--N 16777216 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.302204,0.000100,16777216,0,0,256,65536,N,0,134217728,0.000000,134217728,0,random_gather_scatter,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,444.13,0.00
reduce_sum,--N 262144 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009145,0.001393,262144,0,0,256,1024,N,262143,1052676,0.249025,1048576,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,115.11,28.67
reduce_sum,--N 1048576 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.013671,0.000042,1048576,0,0,256,4096,N,1048575,4210692,0.249027,4194304,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,308.00,76.70
reduce_sum,--N 4194304 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.048103,0.000022,4194304,0,0,256,16384,N,4194303,16842756,0.249027,16777216,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,350.14,87.19
reduce_sum,--N 16777216 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.190793,0.000037,16777216,0,0,256,65536,N,16777215,67371012,0.249027,67108864,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,353.11,87.93
saxpy,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009312,0.000078,262144,0,0,256,1024,N,524288,3145728,0.166667,3145728,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,337.81,56.30
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009304,0.000250,1048576,0,0,256,4096,N,2097152,12582912,0.166667,12582912,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1352.42,225.40
saxpy,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.106717,0.000355,4194304,0,0,256,16384,N,8388608,50331648,0.166667,50331648,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,471.64,78.61
saxpy,--N 16777216 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.450017,0.000111,16777216,0,0,256,65536,N,33554432,201326592,0.166667,201326592,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,447.38,74.56
shared_bank_conflict,--warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 4070,1024,1,1,1,1,1,20,100,10,0.005374,0.000144,0,0,0,1024,1,N,0,0,0.000000,4096,4096,smem_bank_conflict,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,0.00,0.00
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,16,16,1,20,100,10,0.008905,0.000324,0,512,512,1024,256,rows_cols,0,2097152,0.000000,2097152,4224,transpose_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,235.50,0.00
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,32,32,1,20,100,10,0.013185,0.000019,0,1024,1024,1024,1024,rows_cols,0,8388608,0.000000,8388608,4224,transpose_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,636.22,0.00
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,64,64,1,20,100,10,0.047134,0.000028,0,2048,2048,1024,4096,rows_cols,0,33554432,0.000000,33554432,4224,transpose_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,711.89,0.00
shared_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,128,128,1,20,100,10,0.418856,0.000034,0,4096,4096,1024,16384,rows_cols,0,134217728,0.000000,134217728,4224,transpose_tiled,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,320.44,0.00
strided_copy_8,--N 262144 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008674,0.000619,262144,0,0,256,1024,N,0,2097152,0.000000,2097152,0,strided_8,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,241.77,0.00
