kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.036573,0.000022,0,0,0,256,4096,N,1048576,0,8388608,0.000000,8388608,0,strided_8,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,229.37,0.00
strided_copy_8,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.036593,0.000024,0,0,0,256,16384,N,4194304,0,33554432,0.000000,33554432,0,strided_8,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,916.96,0.00
reduce_sum,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.037693,0.000098,0,0,0,256,256,N,65536,65535,263172,0.249020,262144,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,6.98,1.74
reduce_sum,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.037800,0.000009,0,0,0,256,1024,N,262144,262143,1052676,0.249025,1048576,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,27.85,6.94
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.037699,0.000104,0,0,0,256,4096,N,1048576,1048575,4210692,0.249027,4194304,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,111.69,27.81
reduce_sum,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.037746,0.000068,0,0,0,256,16384,N,4194304,4194303,16842756,0.249027,16777216,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,446.21,111.12
conv2d_7x7,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267757,0.000051,256,256,0,256,4096,rows_cols,0,6422528,524288,12.250000,524288,0,stencil_7x7,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,1.96,23.99
conv2d_7x7,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000051,512,512,0,256,4096,rows_cols,0,25690112,2097152,12.250000,2097152,0,stencil_7x7,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,7.83,95.93
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000029,1024,1024,0,256,4096,rows_cols,0,102760448,8388608,12.250000,8388608,0,stencil_7x7,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,31.32,383.70
conv2d_7x7,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267808,0.000044,2048,2048,0,256,4096,rows_cols,0,411041792,33554432,12.250000,33554432,0,stencil_7x7,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,125.29,1534.84
