kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
matmul_tiled,--matN 2048 --warmup 10 --reps 50,37,8192,NVIDIA TITAN V,32,32,1,64,64,1,10,50,10,4.790710,0.001545,0,2048,2048,0,1024,4096,rows_cols,17179869184,50331648,341.333333,50331648,8192,mm_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,10.51,3586.08
naive_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,16,16,1,32,32,1,20,100,10,0.010087,0.000028,0,512,512,0,256,1024,rows_cols,0,2097152,0.000000,2097152,0,transpose_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,207.91,0.00
naive_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,16,16,1,64,64,1,20,100,10,0.032594,0.000029,0,1024,1024,0,256,4096,rows_cols,0,8388608,0.000000,8388608,0,transpose_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,257.37,0.00
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,16,16,1,128,128,1,20,100,10,0.124528,0.000020,0,2048,2048,0,256,16384,rows_cols,0,33554432,0.000000,33554432,0,transpose_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,269.45,0.00
naive_transpose,--rows 3072 --cols 3072 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,16,16,1,192,192,1,20,100,10,0.279024,0.000045,0,3072,3072,0,256,36864,rows_cols,0,75497472,0.000000,75497472,0,transpose_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,270.58,0.00
random_access,--N 262144 --block 256 --warmup 20 --reps 100,10,0,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.003961,0.000024,262144,0,0,0,256,1024,N,0,2097152,0.000000,2097152,0,random_gather_scatter,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,529.45,0.00
random_access,--N 1048576 --block 256 --warmup 20 --reps 100,10,0,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.017387,0.000038,1048576,0,0,0,256,4096,N,0,8388608,0.000000,8388608,0,random_gather_scatter,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,482.46,0.00
random_access,--N 4194304 --block 256 --warmup 20 --reps 100,10,0,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.060557,0.000035,4194304,0,0,0,256,16384,N,0,33554432,0.000000,33554432,0,random_gather_scatter,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,554.10,0.00
random_access,--N 8388608 --block 256 --warmup 20 --reps 100,10,0,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.117917,0.000043,8388608,0,0,0,256,32768,N,0,67108864,0.000000,67108864,0,random_gather_scatter,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,569.12,0.00
reduce_sum,--N 262144 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.004031,0.000030,262144,0,0,0,256,1024,N,262143,1052676,0.249025,1048576,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,261.15,65.03
reduce_sum,--N 1048576 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.008398,0.000041,1048576,0,0,0,256,4096,N,1048575,4210692,0.249027,4194304,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,501.39,124.86
reduce_sum,--N 4194304 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.030552,0.000021,4194304,0,0,0,256,16384,N,4194303,16842756,0.249027,16777216,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,551.28,137.28
reduce_sum,--N 8388608 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.056742,0.000018,8388608,0,0,0,256,32768,N,8388607,33685508,0.249027,33554432,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,593.66,147.84
saxpy,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.004415,0.000026,262144,0,0,0,256,1024,N,524288,3145728,0.166667,3145728,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,712.51,118.75
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.024558,0.000020,1048576,0,0,0,256,4096,N,2097152,12582912,0.166667,12582912,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,512.38,85.40
saxpy,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.086258,0.000037,4194304,0,0,0,256,16384,N,8388608,50331648,0.166667,50331648,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,583.50,97.25
saxpy,--N 8388608 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.168407,0.000030,8388608,0,0,0,256,32768,N,16777216,100663296,0.166667,100663296,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,597.74,99.62
shared_bank_conflict,--warmup 20 --reps 100,206,4096,NVIDIA TITAN V,1024,1,1,1,1,1,20,100,10,0.001354,0.000055,0,0,0,0,1024,1,N,0,0,0.000000,4096,4096,smem_bank_conflict,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,0.00,0.00
